CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
1,300.22,57.14,261.35,21.93,64.71,28.88,8976.0,73.92
1,300.22,57.14,245.92,21.93,64.71,28.88,8976.0,51.06
1,300.22,57.14,230.48,21.93,64.71,28.88,8976.0,81.95
0,300.22,57.14,149.51,21.93,27.46,28.88,8976.0,65.03
0,300.22,57.14,89.04,21.93,24.97,28.88,8976.0,66.68
2,322.32,48.55,266.9,55.82,59.71,11.01,9731.0,53.1
1,322.32,48.55,244.59,55.82,59.71,11.01,9731.0,55.22
1,322.32,48.55,222.28,55.82,59.71,11.01,9731.0,87.64
0,322.32,48.55,162.35,71.05,19.79,11.01,9731.0,39.89
0,322.32,48.55,110.47,55.09,19.31,11.01,9731.0,31.24
2,324.45,48.55,247.84,84.99,60.64,11.01,16025.0,44.53
1,324.45,48.55,213.76,84.99,60.64,11.01,16025.0,23.62
1,324.45,48.55,179.69,84.99,60.64,11.01,16025.0,54.66
0,324.45,48.55,150.99,86.84,25.25,11.01,16025.0,13.29
0,324.45,48.55,87.9,59.96,21.46,11.01,16025.0,54.78
2,306.81,48.55,266.9,190.77,82.31,31.79,10055.0,48.56
2,306.81,48.55,217.32,190.77,82.31,31.79,10055.0,43.88
2,306.81,48.55,167.74,190.77,82.31,31.79,10055.0,60.4
1,306.81,48.55,162.35,99.7,35.95,31.79,10055.0,41.66
0,306.81,48.55,110.47,99.7,26.95,31.79,10055.0,69.17
1,322.71,48.55,247.84,22.79,58.69,11.01,8976.0,53.95
1,322.71,48.55,232.51,22.79,58.69,11.01,8976.0,75.91
1,322.71,48.55,217.18,22.79,58.69,11.01,8976.0,52.37
0,322.71,48.55,150.99,22.79,25.16,11.01,8976.0,70.77
0,322.71,48.55,87.9,22.79,22.92,11.01,8976.0,56.29
2,356.82,52.27,264.6,54.77,69.38,1.56,9755.0,48.25
2,356.82,52.27,242.13,54.77,69.38,1.56,9755.0,38.36
1,356.82,52.27,219.66,54.77,69.38,1.56,9755.0,2.25
0,356.82,52.27,165.33,68.07,23.32,1.56,9755.0,96.27
0,356.82,52.27,114.75,48.08,22.74,1.56,9755.0,85.75
2,359.95,52.27,257.25,80.03,67.87,1.56,16064.0,83.3
2,359.95,52.27,222.95,80.03,67.87,1.56,16064.0,88.25
1,359.95,52.27,188.64,80.03,67.87,1.56,16064.0,45.38
