CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
710.54,292.22,52.84,260.81,25.96,55.87,22.85,8929,51.76
695.09,292.22,52.84,245.36,25.96,55.87,22.85,8929,42.55
679.64,292.22,52.84,229.91,25.96,55.87,22.85,8929,47.11
571.79,292.22,52.84,153.34,25.96,24.59,22.85,8929,18.65
507.13,292.22,52.84,90.78,25.96,22.49,22.85,8929,49.29
757.55,296.26,55.93,266.32,53.33,59.15,26.57,9712,41.75
735.14,296.26,55.93,243.9,53.33,59.15,26.57,9712,38.73
712.72,296.26,55.93,221.49,53.33,59.15,26.57,9712,23.43
637.19,296.26,55.93,170.11,68.6,19.72,26.57,9712,30.53
577.78,296.26,55.93,117.41,62.36,19.25,26.57,9712,40.34
788.83,299.1,55.93,264.36,84.94,57.93,26.57,15992,29.72
754.74,299.1,55.93,230.27,84.94,57.93,26.57,15992,29.68
720.65,299.1,55.93,196.18,84.94,57.93,26.57,15992,35.11
647.94,299.1,55.93,154.11,87.95,24.28,26.57,15992,23.6
556.39,299.1,55.93,94.26,59.86,20.66,26.57,15992,22.31
932.1,312.46,55.93,266.32,188.35,85.03,24.01,10002,48.46
882.09,312.46,55.93,216.31,188.35,85.03,24.01,10002,29.9
832.08,312.46,55.93,166.3,188.35,85.03,24.01,10002,54.19
698.58,312.46,55.93,170.11,98.98,37.09,24.01,10002,42.41
636.58,312.46,55.93,117.41,98.98,27.79,24.01,10002,36.14
720.65,296.78,55.93,264.36,21.01,55.99,26.57,8958,44.37
705.24,296.78,55.93,248.96,21.01,55.99,26.57,8958,90.67
689.84,296.78,55.93,233.56,21.01,55.99,26.57,8958,40.74
578.58,296.78,55.93,154.11,21.01,24.17,26.57,8958,55.53
516.59,296.78,55.93,94.26,21.01,22.04,26.57,8958,24.14
765.4,299.77,57.14,265.55,54.36,59.71,28.88,9731,34.05
742.94,299.77,57.14,243.09,54.36,59.71,28.88,9731,56.62
720.48,299.77,57.14,220.63,54.36,59.71,28.88,9731,45.34
643.89,299.77,57.14,167.84,70.47,19.79,28.88,9731,25.01
577.71,299.77,57.14,112.58,60.03,19.31,28.88,9731,61.47
790.11,302.22,57.14,261.35,82.12,58.39,28.88,16025,88.7
755.8,302.22,57.14,227.05,82.12,58.39,28.88,16025,66.65
721.49,302.22,57.14,192.74,82.12,58.39,28.88,16025,-0.39
648.98,302.22,57.14,149.51,86.86,24.36,28.88,16025,18.12
549.58,302.22,57.14,89.04,51.58,20.71,28.88,16025,7.85
939.79,312.38,57.14,265.55,194.41,85.13,25.19,10035,50.58
889.67,312.38,57.14,215.42,194.41,85.13,25.19,10035,22.69
839.55,312.38,57.14,165.3,194.41,85.13,25.19,10035,63.27
699.31,312.38,57.14,167.84,99.7,37.05,25.19,10035,43.82
634.72,312.38,57.14,112.58,99.7,27.72,25.19,10035,56.78
734.25,300.22,57.14,261.35,21.93,64.71,28.88,8976,73.92
718.81,300.22,57.14,245.92,21.93,64.71,28.88,8976,51.06
703.37,300.22,57.14,230.48,21.93,64.71,28.88,8976,81.95
585.16,300.22,57.14,149.51,21.93,27.46,28.88,8976,65.03
522.19,300.22,57.14,89.04,21.93,24.97,28.88,8976,66.68
764.32,322.32,48.55,266.9,55.82,59.71,11.01,9731,53.1
742.01,322.32,48.55,244.59,55.82,59.71,11.01,9731,55.22
719.69,322.32,48.55,222.28,55.82,59.71,11.01,9731,87.64
